startId,endId
49,50
50,51
35,50
33,35
33,34
29,34
28,29
33,36
36,37
30,34
30,31
32,33
31,32
31,170
170,171
32,171
32,170
31,171
32,38
37,38
38,48
45,48
37,45
47,48
47,116
115,116
112,115
47,112
46,47
45,46
44,45
44,46
43,44
43,97
44,97
44,96
96,97
43,96
39,43
37,39
39,40
27,40
25,27
25,26
26,28
27,49
35,49
40,41
23,41
23,24
20,24
20,21
21,22
22,23
24,27
19,25
8,19
8,9
9,18
18,19
19,20
7,8
7,26
6,7
5,6
4,5
4,29
3,4
2,3
2,30
1,2
1,11
2,11
1,175
171,175
1,31
171,172
172,173
174,175
173,175
174,188
188,203
174,176
1,174
175,176
1,176
176,186
185,186
184,187
184,185
182,185
182,183
183,184
187,207
206,207
203,206
189,205
204,205
203,204
205,206
189,207
189,190
190,191
191,192
192,193
191,193
192,194
194,202
201,202
195,201
194,195
183,202
181,182
178,181
195,196
181,196
196,197
197,200
196,198
179,197
178,179
177,178
177,180
179,180
177,179
178,180
11,180
177,186
12,180
12,13
13,14
179,199
6,13
3,12
199,211
211,212
212,215
211,215
200,211
200,214
213,214
213,215
9,10
10,17
17,18
17,54
21,54
53,54
17,52
52,53
85,86
84,85
83,84
77,79
79,81
81,82
80,82
79,80
22,80
21,82
42,80
42,87
87,88
88,90
89,90
87,89
43,88
90,96
89,92
92,95
94,95
94,100
99,100
95,99
95,96
97,98
98,99
99,101
101,102
98,102
102,104
102,105
103,105
103,104
103,113
97,113
101,106
105,106
107,169
106,169
101,107
107,108
108,109
109,110
110,111
111,114
114,115
111,112
109,117
117,168
167,168
117,118
108,118
119,120
120,121
121,122
122,123
120,123
122,127
124,127
124,125
125,126
126,127
121,124
93,121
93,94
91,92
91,93
128,129
76,78
77,129
129,130
130,131
124,128
72,76
72,73
73,74
74,75
70,125
69,70
70,71
71,72
67,71
67,68
68,69
162,163
68,162
162,164
164,165
69,132
134,135
133,134
66,133
65,134
65,66
64,65
58,64
63,64
62,63
58,62
61,62
61,138
137,138
63,137
10,16
16,55
52,55
52,86
135,136
64,135
136,137
137,147
146,147
138,146
138,139
60,139
60,61
59,60
57,58
57,59
56,57
56,142
59,142
59,140
140,141
141,145
139,145
145,146
141,144
144,148
149,150
150,151
151,152
152,153
143,153
153,154
152,155
154,155
155,161
152,156
156,157
160,161
159,160
157,159
157,158
15,199
14,15
7,14
112,113
170,172
173,174
176,187
55,56
65,86
69,126
153,218
218,219
219,220
216,220
216,217
217,218
218,228
16,228
16,217
15,216
199,220
142,228
219,276
259,276
258,259
257,258
256,257
215,258
262,263
212,262
259,260
254,257
254,255
253,254
252,253
251,252
250,251
213,250
248,250
245,248
213,249
247,252
246,247
247,248
245,246
236,246
244,245
243,244
241,243
240,241
239,240
239,242
241,242
236,239
233,236
233,234
234,237
237,238
235,238
234,235
160,235
161,233
236,255
255,256
154,256
155,256
149,231
231,232
143,232
144,232
144,230
230,231
143,229
141,229
142,229
139,140
134,267
267,267
264,266
214,264
198,264
214,265
222,224
14,223
100,284
107,284
108,285
284,285
119,285
286,287
118,287
119,286
120,166
166,288
118,288
167,288
168,282
279,282
279,280
280,281
114,281
115,277
116,278
38,225
225,227
38,227
48,227
226,227
116,226
268,269
267,268
165,269
165,272
165,271
164,271
164,270
163,270
67,163
67,275
66,275
274,275
273,274
66,273
76,77
81,83
67,83
79,283
89,283
128,283
41,42
110,279
132,271
271,272
48,226
