time,population
0,59
10,113
20,164
30,164
40,329
50,498
60,655
70,776
80,834
90,861
100,1015
110,1138
120,1612
130,1644
140,1922
150,2169
160,2442
170,2623
180,2898
190,3029
200,3374
210,3451
220,3646
230,3777
240,3777
250,3777
260,3975
270,3975
280,4647
290,4647
300,4944
310,4944
320,4944
330,5060
340,5060
350,5060
360,5717
370,5937
380,5937
390,6350
400,6350
410,6876
420,6876
430,7062
440,7062
450,7062
460,7854
470,7929
480,7929
490,7929
500,7929
510,8175
520,8175
530,8969
540,8969
550,9708
560,9708
570,9708
580,9708
590,10303
600,10303
610,10303
620,10303
630,10303
640,10303
650,10303
660,11018
670,11018
680,12791
690,12791
700,12791
710,12791
720,12791
730,12791
740,12791
750,12791
760,12791
770,12791
780,12791
790,12791
800,13939
810,13939
820,14909
830,14909
840,14909
850,14909
860,14909
870,14909
880,14909
890,14909
900,14909
910,15617
920,15617
930,15617
940,15617
950,17340
960,17340
970,17340
980,17340
990,17340
1000,17340
1010,17340
1020,17779
1030,17779
1040,17779
1050,17779
1060,17779
1070,17779
1080,17779
1090,17779
1100,19507
1110,19507
1120,19507
1130,19507
1140,19507
1150,19507
1160,19507
1170,19507
1180,19507
1190,19507
1200,19507
1210,19507
1220,20627
1230,20627
1240,20627
1250,21859
1260,21859
1270,21859
1280,21859
1290,21859
1300,21859
1310,21859
1320,21859
1330,21859
1340,21859
1350,23804
1360,23804
1370,23804
1380,23804
1390,23804
1400,23804
1410,23804
1420,23804
1430,23804
1440,23804
1450,23804
1460,23804
1470,23804
1480,25150
1490,25150
1500,28788
1510,28788
1520,28788
1530,28788
1540,28788
1550,28788
1560,28788
1570,28788
1580,28788
1590,28788
1600,28788
1610,28788
1620,29781
1630,29781
1640,29781
1650,30243
1660,30879
1670,30879
1680,30879
1690,30879
1700,30879
1710,30879
1720,30879
1730,30879
1740,31971
1750,31971
1760,31971
1770,31971
1780,31971
1790,35825
1800,35825
1810,35825
1820,35825
1830,35825
1840,35825
1850,35825
1860,36202
1870,36202
1880,36202
1890,36202
1900,36202
1910,36202
1920,36202
1930,36202
1940,38093
1950,38093
1960,38093
1970,38093
1980,38093
1990,38093
